year,LUH1-CMIP5
1750,0
1751,-8.87E-05
1752,-0.000177441
1753,-0.000266172
1754,-0.00035491
1755,-0.000443631
1756,-0.000532365
1757,-0.000621091
1758,-0.000709809
1759,-0.00079853
1760,-0.000886594
1761,-0.000974017
1762,-0.001061412
1763,-0.001148818
1764,-0.001236225
1765,-0.001323638
1766,-0.001411036
1767,-0.001498457
1768,-0.001585852
1769,-0.001673262
1770,-0.001774395
1771,-0.001889268
1772,-0.00200414
1773,-0.002119001
1774,-0.002233872
1775,-0.002348743
1776,-0.002463633
1777,-0.002578524
1778,-0.002693383
1779,-0.002808249
1780,-0.002915084
1781,-0.003013918
1782,-0.003112741
1783,-0.003211569
1784,-0.003310407
1785,-0.003409248
1786,-0.003508066
1787,-0.003606889
1788,-0.003705733
1789,-0.003804553
1790,-0.003915778
1791,-0.004039402
1792,-0.004163026
1793,-0.004286638
1794,-0.004410269
1795,-0.004533905
1796,-0.004657522
1797,-0.004781158
1798,-0.004904762
1799,-0.005028407
1800,-0.005169139
1801,-0.005326947
1802,-0.005484801
1803,-0.005642639
1804,-0.005800494
1805,-0.005958339
1806,-0.006116173
1807,-0.006273992
1808,-0.00643183
1809,-0.006589689
1810,-0.006761299
1811,-0.006946634
1812,-0.007132002
1813,-0.007317361
1814,-0.00750272
1815,-0.00768808
1816,-0.007873463
1817,-0.008058824
1818,-0.008244184
1819,-0.008429531
1820,-0.00866906
1821,-0.008962751
1822,-0.009256449
1823,-0.009550124
1824,-0.009843797
1825,-0.01013751
1826,-0.010431204
1827,-0.010724889
1828,-0.011018588
1829,-0.011312256
1830,-0.011704748
1831,-0.01219606
1832,-0.012687378
1833,-0.013178682
1834,-0.013670017
1835,-0.014161326
1836,-0.014652634
1837,-0.015143968
1838,-0.015635256
1839,-0.016126568
1840,-0.016696993
1841,-0.01734654
1842,-0.017996104
1843,-0.018645655
1844,-0.019295195
1845,-0.019944771
1846,-0.020594305
1847,-0.021243856
1848,-0.021893394
1849,-0.022542955
1850,-0.023360504
1851,-0.024346105
1852,-0.025331679
1853,-0.026317252
1854,-0.027302832
1855,-0.028288411
1856,-0.029273985
1857,-0.03025957
1858,-0.031245154
1859,-0.032230721
1860,-0.033090458
1861,-0.033824352
1862,-0.034558274
1863,-0.035292195
1864,-0.036026096
1865,-0.036759987
1866,-0.037493892
1867,-0.038227797
1868,-0.038961696
1869,-0.039695604
1870,-0.040800474
1871,-0.042276295
1872,-0.043752116
1873,-0.045227962
1874,-0.046703776
1875,-0.048179607
1876,-0.049655424
1877,-0.051131232
1878,-0.052607063
1879,-0.0540829
1880,-0.055399565
1881,-0.056557031
1882,-0.057714512
1883,-0.058871969
1884,-0.060029445
1885,-0.061186933
1886,-0.062344428
1887,-0.063501894
1888,-0.06465939
1889,-0.065816858
1890,-0.067020374
1891,-0.06826993
1892,-0.069519459
1893,-0.070769027
1894,-0.072018586
1895,-0.073268142
1896,-0.074517697
1897,-0.075767257
1898,-0.077016776
1899,-0.078266348
1900,-0.079628523
1901,-0.081103346
1902,-0.082578177
1903,-0.084053007
1904,-0.085527815
1905,-0.087002628
1906,-0.08847745
1907,-0.08995226
1908,-0.09142709
1909,-0.092901908
1910,-0.093993858
1911,-0.094702967
1912,-0.095412109
1913,-0.096121237
1914,-0.096830354
1915,-0.097539473
1916,-0.098248593
1917,-0.098957703
1918,-0.099666825
1919,-0.100375935
1920,-0.101186575
1921,-0.102098768
1922,-0.103010905
1923,-0.103923068
1924,-0.104835259
1925,-0.105747438
1926,-0.106659604
1927,-0.107571775
1928,-0.108483945
1929,-0.109396119
1930,-0.110125553
1931,-0.110672209
1932,-0.111218886
1933,-0.111765558
1934,-0.112312251
1935,-0.112858922
1936,-0.113405607
1937,-0.113952253
1938,-0.114498937
1939,-0.115045612
1940,-0.115390598
1941,-0.115533894
1942,-0.115677153
1943,-0.115820439
1944,-0.11596372
1945,-0.116107001
1946,-0.116250296
1947,-0.11639355
1948,-0.116536855
1949,-0.116680142
1950,-0.117155491
1951,-0.117962883
1952,-0.118770246
1953,-0.119577665
1954,-0.120385063
1955,-0.121192452
1956,-0.121999834
1957,-0.12280723
1958,-0.12361464
1959,-0.124422043
1960,-0.124959701
1961,-0.125227588
1962,-0.125495517
1963,-0.125763443
1964,-0.126031346
1965,-0.126299259
1966,-0.126567179
1967,-0.126835091
1968,-0.127103015
1969,-0.127370926
1970,-0.127535666
1971,-0.127597301
1972,-0.12765892
1973,-0.127720542
1974,-0.127782172
1975,-0.127843794
1976,-0.127905405
1977,-0.127967027
1978,-0.12802865
1979,-0.128090277
1980,-0.128233631
1981,-0.128458688
1982,-0.128683746
1983,-0.12890881
1984,-0.129133902
1985,-0.129358985
1986,-0.129584056
1987,-0.129809114
1988,-0.130034166
1989,-0.130259231
1990,-0.130374438
1991,-0.130379769
1992,-0.130385085
1993,-0.13039044
1994,-0.130395779
1995,-0.130401084
1996,-0.130406425
1997,-0.130411761
1998,-0.130417087
1999,-0.130422417
2000,-0.130253613
2001,-0.129910628
2002,-0.129567672
2003,-0.129224713
2004,-0.128881738
