year,LUH3-CMIP7FT
1700,0.005583133
1701,0.005456637
1702,0.005330128
1703,0.005203624
1704,0.005077136
1705,0.004950637
1706,0.004824123
1707,0.00469762
1708,0.004571109
1709,0.00444462
1710,0.004315373
1711,0.004183404
1712,0.004051406
1713,0.003919411
1714,0.003787429
1715,0.003655434
1716,0.003523446
1717,0.003391464
1718,0.003259486
1719,0.00312749
1720,0.003007741
1721,0.002900225
1722,0.002792707
1723,0.002685193
1724,0.002577673
1725,0.002470143
1726,0.002362639
1727,0.002255124
1728,0.002147608
1729,0.002040089
1730,0.001940704
1731,0.001849445
1732,0.001758192
1733,0.001666939
1734,0.001575681
1735,0.001484432
1736,0.001393181
1737,0.00130192
1738,0.001210652
1739,0.00111941
1740,0.001023417
1741,0.000922698
1742,0.000821964
1743,0.000721238
1744,0.000620513
1745,0.000519806
1746,0.000419072
1747,0.000318353
1748,0.000217627
1749,0.000116903
1750,0
1751,-0.000133063
1752,-0.000266128
1753,-0.000399214
1754,-0.000532282
1755,-0.000665366
1756,-0.000798424
1757,-0.000931491
1758,-0.001064576
1759,-0.001197641
1760,-0.001336437
1761,-0.001480956
1762,-0.001625487
1763,-0.001770003
1764,-0.001914518
1765,-0.002059037
1766,-0.00220356
1767,-0.002348071
1768,-0.002492597
1769,-0.002637121
1770,-0.002796949
1771,-0.002972136
1772,-0.003147309
1773,-0.003322477
1774,-0.003497653
1775,-0.003672806
1776,-0.003847988
1777,-0.004023148
1778,-0.004198332
1779,-0.00437351
1780,-0.004541225
1781,-0.004701511
1782,-0.0048618
1783,-0.005022074
1784,-0.005182363
1785,-0.005342655
1786,-0.005502931
1787,-0.00566322
1788,-0.005823493
1789,-0.005983781
1790,-0.006164275
1791,-0.006364951
1792,-0.006565624
1793,-0.006766299
1794,-0.006966964
1795,-0.007167653
1796,-0.007368335
1797,-0.007569015
1798,-0.007769696
1799,-0.007970374
1800,-0.008217168
1801,-0.008510088
1802,-0.008803008
1803,-0.009095919
1804,-0.009388835
1805,-0.00968175
1806,-0.009974667
1807,-0.010267571
1808,-0.010560488
1809,-0.010853405
1810,-0.011159225
1811,-0.011477911
1812,-0.011796623
1813,-0.01211534
1814,-0.012434048
1815,-0.012752752
1816,-0.013071445
1817,-0.013390152
1818,-0.013708864
1819,-0.014027561
1820,-0.01438289
1821,-0.014774852
1822,-0.015166795
1823,-0.01555874
1824,-0.015950695
1825,-0.016342644
1826,-0.016734597
1827,-0.017126547
1828,-0.017518483
1829,-0.017910435
1830,-0.01838475
1831,-0.018941405
1832,-0.019498053
1833,-0.020054714
1834,-0.020611359
1835,-0.021168018
1836,-0.021724664
1837,-0.022281313
1838,-0.022837975
1839,-0.023394633
1840,-0.023930789
1841,-0.024446429
1842,-0.024962085
1843,-0.025477734
1844,-0.025993382
1845,-0.026509032
1846,-0.027024693
1847,-0.027540341
1848,-0.028055995
1849,-0.028571663
1850,-0.029328748
1851,-0.030327323
1852,-0.031325879
1853,-0.032324446
1854,-0.033323009
1855,-0.034321577
1856,-0.035320141
1857,-0.036318701
1858,-0.037317273
1859,-0.038315829
1860,-0.039113284
1861,-0.039709614
1862,-0.040305926
1863,-0.04090224
1864,-0.041498568
1865,-0.042094898
1866,-0.042691218
1867,-0.043287545
1868,-0.043883876
1869,-0.04448019
1870,-0.045509468
1871,-0.046971699
1872,-0.048433926
1873,-0.049896167
1874,-0.051358406
1875,-0.052820645
1876,-0.054282891
1877,-0.055745131
1878,-0.057207355
1879,-0.058669588
1880,-0.059912966
1881,-0.060937473
1882,-0.061961975
1883,-0.062986495
1884,-0.064011007
1885,-0.065035508
1886,-0.066060026
1887,-0.067084533
1888,-0.068109055
1889,-0.069133561
1890,-0.070143728
1891,-0.071139581
1892,-0.072135438
1893,-0.073131289
1894,-0.074127132
1895,-0.075122975
1896,-0.076118816
1897,-0.077114655
1898,-0.07811052
1899,-0.079106364
1900,-0.080304037
1901,-0.081703549
1902,-0.083103094
1903,-0.084502604
1904,-0.085902105
1905,-0.087301635
1906,-0.08870114
1907,-0.09010065
1908,-0.09150016
1909,-0.092899675
1910,-0.093796395
1911,-0.094190291
1912,-0.094584202
1913,-0.094978105
1914,-0.095372001
1915,-0.095765917
1916,-0.096159823
1917,-0.096553711
1918,-0.09694762
1919,-0.097341532
1920,-0.097955725
1921,-0.098790219
1922,-0.099624699
1923,-0.100459192
1924,-0.101293679
1925,-0.102128172
1926,-0.102962657
1927,-0.103797132
1928,-0.104631628
1929,-0.105466095
1930,-0.106241969
1931,-0.106959251
1932,-0.107676537
1933,-0.108393809
1934,-0.109111073
1935,-0.109828339
1936,-0.110545611
1937,-0.111262877
1938,-0.111980164
1939,-0.112697445
1940,-0.112758099
1941,-0.112162177
1942,-0.111566265
1943,-0.11097036
1944,-0.11037443
1945,-0.109778494
1946,-0.109182582
1947,-0.108586657
1948,-0.107990746
1949,-0.107394825
1950,-0.107377256
1951,-0.107938023
1952,-0.108498772
1953,-0.10905954
1954,-0.109620307
1955,-0.110181069
1956,-0.110741828
1957,-0.111302591
1958,-0.11186336
1959,-0.112424128
1960,-0.113014422
1961,-0.11363426
1962,-0.114254108
1963,-0.11487396
1964,-0.115493809
1965,-0.116113644
1966,-0.116733497
1967,-0.117353334
1968,-0.117973182
1969,-0.118593031
1970,-0.119086212
1971,-0.11945276
1972,-0.119819295
1973,-0.120185844
1974,-0.12055239
1975,-0.120918944
1976,-0.121285479
1977,-0.121652021
1978,-0.122018559
1979,-0.122385111
1980,-0.122679282
1981,-0.122901072
1982,-0.123122871
1983,-0.123344659
1984,-0.123566457
1985,-0.123788259
1986,-0.124010058
1987,-0.124231862
1988,-0.124453656
1989,-0.124675454
1990,-0.124622457
1991,-0.124294668
1992,-0.123966884
1993,-0.123639087
1994,-0.123311306
1995,-0.12298352
1996,-0.122655727
1997,-0.122327938
1998,-0.122000164
1999,-0.12167239
2000,-0.121114071
2001,-0.120325207
2002,-0.119536331
2003,-0.11874747
2004,-0.117958592
2005,-0.11716973
2006,-0.116380865
2007,-0.115592006
2008,-0.114803129
2009,-0.114014271
2010,-0.113456304
2011,-0.113129237
2012,-0.112802177
2013,-0.112475125
2014,-0.112148064
2015,-0.111821012
2016,-0.111493931
2017,-0.111166873
2018,-0.110839835
2019,-0.110512764
2020,-0.11038902
2021,-0.110468568
2022,-0.110548118
2023,-0.110627677
