Time,CMIP7 v2.2.1
1850.041667,-0.00480388
1850.125,-0.00258204
1850.208333,-0.00131505
1850.291667,-0.00134969
1850.375,-0.00179935
1850.458333,-0.00272343
1850.541667,-0.00393683
1850.625,-0.00540883
1850.708333,-0.00636081
1850.791667,-0.00737777
1850.875,-0.00611161
1850.958333,-0.0043425
1851.041667,-0.00299113
1851.125,-0.00105348
1851.208333,-3.16E-05
1851.291667,-0.000279852
1851.375,-0.000915274
1851.458333,-0.00200003
1851.541667,-0.0033524
1851.625,-0.00494408
1851.708333,-0.00599759
1851.791667,-0.00710198
1851.875,-0.00590165
1851.958333,-0.00418845
1852.041667,-0.00288485
1852.125,-0.000986656
1852.208333,0
1852.291667,-0.000281761
1852.375,-0.000947631
1852.458333,-0.0020601
1852.541667,-0.00343745
1852.625,-0.00505155
1852.708333,-0.00612332
1852.791667,-0.0072439
1852.875,-0.00604932
1852.958333,-0.00433977
1853.041667,-0.00303948
1853.125,-0.00114211
1853.208333,-0.000157895
1853.291667,-0.000445187
1853.375,-0.163716
1853.458333,-0.305601
1853.541667,-0.392237
1853.625,-0.437383
1853.708333,-0.452383
1853.791667,-0.447087
1853.875,-0.426298
1853.958333,-0.396937
1854.041667,-0.363696
1854.125,-0.328218
1854.208333,-0.500217
1854.291667,-0.611578
1854.375,-0.65451
1854.458333,-0.653037
1854.541667,-0.624209
1854.625,-0.580081
1854.708333,-0.527994
1854.791667,-0.473706
1854.875,-0.418283
1854.958333,-0.365567
1855.041667,-0.317473
1855.125,-0.273428
1855.208333,-0.234984
1855.291667,-0.202324
1855.375,-0.175141
1855.458333,-0.152064
1855.541667,-0.132435
1855.625,-0.11588
1855.708333,-0.101289
1855.791667,-0.088907
1855.875,-0.0760862
1855.958333,-0.0643782
1856.041667,-0.054493
1856.125,-0.0452134
1856.208333,-0.0379101
1856.291667,-0.0327952
1856.375,-0.0288265
1856.458333,-0.0259869
1856.541667,-0.0239897
1856.625,-0.0227296
1856.708333,-0.0213463
